category,text
meetup,I am bord text me
school,"Whoever decided to create the idea of school, I hate you"
school,Memphis Grizzles Game.!!
personal,"I feel like people who complain that their friends are ""different people now"" didn't know that person to start with."
fashion,So excited to wear my prom dress *me*
meetup,Someone wanna talk?
personal,I'm alone but happy and still Smiling
personal,"Can't wait to meet the woman That'll be my future, maybe I already have."
misc,People who add you on FB but avoid talking to you in person...why??? Now its awkward af
personal,"Pansexual and gender fluid people are just asking for attention and it grates on me that they are so vocal. Fuck off, no one gives a shit about you."
qna,Anyone want a Pokemon Ruby game? 30 bucks.
meetup,Kik though
personal,If you don't like spongebob we can't be friends. Period.
family,that sad moment when you realize your mom has more friends than you
faith,"Lord, I know you have a plan for me, but I just don't see it. Right now it looks like I'm going to be broke and homeless soon. Please send me a sign."
pop_culture,Caught a shiny giratina in pokemon platinum today!!
personal,Hate being wealthy don't know if the girl trying be with me for money or real love it's the LIFE I choose I guessed
meetup,Who wants to go on an adventure tonight? (After both parties are checked and found to be thoroughly noncreepers)
meetup,Not going too winter ball tonight :( anyone wanna try to cheer me up? 16 F NM
personal,Wish there were more exciting guys to talk to. I hate being the only one to carry a convo
personal,I am way overreacting right now and I know I am. But I can't stop crying.
personal,I've never been kissed
meetup,Bored af somebody take me away Gay 17m Bolingbrook IL
qna,Does anybody on here do volunteer work or anything like that and have some suggestions?
family,My little sister doesn't appreciate what I do for her she treats me bad 
family,This family is gonna be the death of me
misc,"It's not that we only appreciate things once they're gone, we did before. We just never thought we'd lose them."
relationships,"I want to break up with my boyfriend...but I'm to afraid to do it, cause I don't want to hurt his feelings. Does anyone else feel like that?"
misc,I know something's wrong cause i'm eating muffins while taking a bubble bath 
misc,new whisper challenge:
meetup,Any girls want to chat Single M20
personal,I have been chatting to a girl that I really admire but is younger than me. Feeling frustrated
lgbtq,Lesbian 18f Message me Im bored
relationships,Guys and girls cannot be just friends. Unless one is gay or it's just sex. But other than that nope
personal,Just want a cuddle Is that too much to ask for?
misc,I prefer hairy guys with a belly over hairless gym rats.
meetup,Skype anyone? M here
personal,"When the doctor told me the anti-depressants would make me unable to orgasm, I told her I was the happiest fucker in the world"
qna,What's your favorite car mines a Volkswagon golf! Any one know how to stop content showing in newsfeeds!!
pop_culture,"I saw an old man slip and fall. Hey, what a fucking idiot. -Bo Burnham"
food,Nutella is my Drug... Nothing else matters.
personal,Omg the walls are closing in on me
meetup,Ladies who is bored and tryna party??
personal,"I'm just so sick of my ""best friend"" I could honestly never talk to her again and not give a fuck. Bitches who take people for granted. Smh."
meetup,Sleepy Wanna love me?
misc,Suffering of LDR
personal,I wish people would just tell me to shut up and go away sometimes.
meetup,Any one want to go out dancing 26 m
personal,Just because I'm emo. Doesn't mean you judge me!! 
relationships,My boyfriend is gona go into the navy..recruiters are coming to talk to him this coming week..hes only gona be 17 but im worried.I tell him I support his decision but im scared to lose him in war.. :/
misc,Not having a woman in my life really sucks.. Wish I did rather be a Zombie lol
relationships,I miss someone that i love and he lives far away from me and im afraid to loose him i love him and he says he loves me back but sometimes im not sure if he is honest what should i do
misc,There's this new dating app It's called Whisper
meetup,"I'm from nyc , I'm new to Montana,And I'm heading to billings where can I go to have some fun. Somewhere with a more adult crowd(I'm 39yr old blk male )"
personal,I hate feel like i fuck ever thing up like really do u think im that fucking easy fuck this shit
qna,I just want a real relationship. Is that too much to ask for? F18
personal,Gonna starve myself I think.
meetup,Looking for someone to hang out with maybe more message me lets see
misc,Old and tired
relationships,I think I have become more sarcastic and sassy since I've been dating my boyfriend ...
qna,Favorite number?
pop_culture,This is a hot blonde. I'm sending this photo to every begging creep who asks for a photo of one.
meetup,Message me with an interesting fact
relationships,I truly belive you were the greatst thing that ever happened to me
meetup,Women with freckles so beautiful message me 21 m
meetup,A little stoned hot guy here... Anyone?
meetup,I'm thinkin about maybe hitting hookah 21 up! Don't wanna go alone tho lol I'm so lame! Haha
pop_culture,I'm going see the phantom of the opera at the Wharton center in April.. I'm so excited!!!
relationships,Had such a good day with my girlfriend <3
family,"Just my luck, I finally don't have my daughter with me tonight and all my friends are stuck at work. I'm bored and really want to do something tonight. :("
misc,I'm ugly
food,Chinese On The Go is always so busy.
fashion,I trimmed my eyebrows and I'm a guy.
misc,Tit
personal,need boyfriend this will be the 5th time i spend valentines day alone
relationships,Even tho my boyfriend cat fished me I think the real him is sexier. Mixed men is where its at.
personal,I hate when people give their opinions about experiences they have never had
meetup,M 18 here up for anything just message me.
personal,No one will ever love me. Btw I'm a grill
personal,Stealing money from my kids piggy bank so I can get gas. I get paid tomorrow and can pay her back but it's still the worst feeling
meetup,Message me ❤️
personal,"Just when I think I'm moving on, something happens and I fall right back down again"
family,My papa bear put that shut down on me this morning
qna,Y is it I feel so useless and unwanted
personal,Once you go to a mental hospital You lose half your friends........
personal,I'm so bored I'm going to freak out
pop_culture,I love Ryan Timothy Lane
relationships,"I just want a guy to tell me cheesy jokes, watch stupid stuff on Netflix, get lost while hiking, and tell me my drawing is good(when it's not)"
pop_culture,The girl who plays Octavia on The 100 is sexy AF ... Just Saying
family,My daughter just left and I already miss her v.v
misc,"If you're reading this, I love you. [something that will fuck with everyone's minds on this app for so long] but I really do"
family,Sometimes I hate my mom so much I try to find reasons to call the cops on her so i dont have to put up with her
school,"Looking for a nice apartment/condo/townhome, 2 bed 2 bath at a reasonable price and close to campus. Any suggestions?"
misc,If your looking for free sex why don't you try tinder? Fuck off.
personal,"Sometimes I feel like I'm going to be burnt at the stake when I say I'm into spiritual stuff! I know I'm not alone, we just have to be brave enough to come out from the 'spiritual closet'!"
personal,I want to go on a date tonight
meetup,Hmu PLZ 
meetup,Who has tumblr? Pm me
personal,I get so awkward when I think my male friends begin to like me more than friends... So awks
meetup,Bored at work anybody want to talk hit me up 25 m
fashion,I'm nothing like an emo but I'd like to see what I'd look like as one 
personal,i hate myself
relationships,"I want a serious relationship,.she only want sex 19M"
meetup,Kik me ianchicken bored I'm a m girls only
misc,Put me in a nappy xD I'm 20 and it's fun
misc,MOA is boring alone
qna,What to do on a friday night?
misc,:O phone on 5% what can I say I like living on the edge xD
personal,I'm ready to die.
family,"My son's teacher asked the class what they're doing this weekend my son said ""I'm playing with my toys. My dad is cleaning and cooking. He really needs a girlfriend."""
misc,"choosing your game over me,i dont think so,ill snap the fucker!"
pop_culture,Any The Walking Dead fans here?
misc,When ever I'm angry I always want to hurt somebody
misc,"Leggings, music, and hot tea. The perfect Friday night"
relationships,I'm back with my boyfriend and for some reason I just can't leave him
pop_culture,Love blaring my country music 
pop_culture,I think Friends is a hugely overrated tv show
meetup,Anyone up for some parades? 26 m
personal,I wish I could tell how intelligent a women was by looking at her Or maybe smell her creativity as she passes me on the street I fear I'll always make myself a fool trying to figure these things out.
relationships,I can't take this long distance shit anymore..
misc,Strange day
pop_culture,I want to see 50 shades of Grey but all my friends wont cause then dont approve of the relationship in it
misc,Bored and cute
family,I lost my virginity and I don't know how to tell my mom
personal,I am in love with the idea of being in love.
misc,I'm Sorry xD not
misc,"I hid from my problems for so long. Now I'm an adult and if I have an issue with you, I'm going to tell you."
meetup,Bored 29 m just want a chat...
meetup,I'm 15 female anyone wanna talk 
meetup,F 15 blonde and looking for a friend ❤️
personal,"When I need to talk to someone really bad, I do so in my head, imagining how they would respond and by the time that the opportunity opens for me to actually TALK to said person, I don't need to talk to them anymore."
personal,I am so self conscious... But when I drink I give no fucks
misc,MY GUILTY PLEASURE: mycandylove.com IF YOU KNOW THAT GAME THEN YOU KNOW THERE IS NO ESCAPE. AND I DONT EVEN LIKE ANIME WTF
lgbtq,Any Jewish bisexual / lesbians??? Jewish 18 F
pop_culture,true life: mary kate and ashley were my life for most of my childhood
pop_culture,
personal,Being in love with someone who no longer cares is the worst feeling I've ever felt
qna,I told a guy that I liked him but he said that its best that we stay friends. I really like him and can't stop thinking about him. The more I talk to him the more I like him but he said we should just be friends. What do I do?
lgbtq,Anyone wanna hang out in Stockport 18f bi
personal,My game is so bad some chick gave me her number and her sister told me she liked me and within 5 mins of talking to her she got tired of me. Sigh I think I'm just gonna pay for it I'll never get women
family,Ugh! My baby fever is back
personal,It's scary how much I think about you.
meetup,Girls look so sexy in soccer and basketball uniforms Got any pics will rate you
misc,TGIF!
meetup,Someone cute come get me and take me on a date. I'm 20 and female
misc,"I need to wash my car so bad, I'm a bit embarrassed"
misc,Truth is you were just one of my bigger mistakes
family,My child who I haven't seen in years knocked at my door today arkward....
personal,I think people dont realise how heart breaking it is to want a guy so bad but he doesnt even glance in your direction. *sighs*
meetup,Who is a girl on here
meetup,Does anyone nearby want to hangout?
personal,Girls moan about guys being so shallow but as soon as a guy is a bit chubby they ignore you
qna,"Do dog owners get offended when someone calls their dog an, ""it"" ?"
misc,My weekend is gonna suck.
qna,"Do you have ""one that got away""? Do you still miss them after all this time?"
misc,Maybe okay can be our always❤️
misc,
lgbtq,"I've been 'straight' in all but one relationship , it never went far , and I always wonder what it would be like to actually be with the same sex , but don't want to date them"
relationships,I love my bf I just want to cuddle up with him rn!!!
misc,In a post apocalyptic wasteland nothing has any worth but titties
personal,That's weird but i feel like my friends like me when i have money.
misc,I just want you all to have a good Friday evening. Don't do anything I'd do.
personal,If u rly Knew me I would let u know how I feel
meetup,Hmu
qna,I need 900 dollars by may and can't find a job. Any suggestions that don't involve me giving up my self respect?
meetup,About to ride around Harding I'll be in the red truck just hmu
personal,I Love the way we make each other feel.
qna,Is it just me or when I see another redhead I just want to give them a high-five?
personal,"I can honestly say that MD has nothing left for me anymore. My friendships have all run dry, my family members have all moved away and my job sucks. The only thing keeping me here are my kids."
meetup,Someone take me out tonight lol
lgbtq,I want an arab boyfriend 17 m gay in new york
relationships,I've decided next time I'm in a relationship I want HOT Boyfriend
relationships,"Whenever I try to start a new relationship, I can't bring myself to care enough because I still care too much about you..."
meetup,I need a 15-16 friend :( 15 f
personal,I just lifted my head and thought... What the hell am I doing....
personal,"I hate when people who don't have OCD say ""I'm so OCD because I'm clean"" it's offensive, they have no idea how hard it is to actually live with OCD."
misc,I've had sex with 60+ women ... Can't remember half of there names
meetup,Snapchat @rickypaull
relationships,Her voice when she first wakes up is the sexiest thing ever
misc,Wild Irish rose an a fatty
meetup,Singing_Trout to new girl We have been experiencing Technical difficulties
lgbtq,"I told my mom I was gay, she said she loved me and she supported me. I've never been happier."
meetup,Who wants to play basketball at Seguin park
personal,I would do most anything baby if only You would come back to me❤️❤️
qna,I wonder if they find me attractive even though I wear the Hijab?
personal,This is what my night consist of. Me on a date night with myself.
food,Who else likes vodka
qna,Is being sexually unfulfilled reason enough to leave an otherwise good marriage? What if you've tried everything?
personal,I'm determined to never let a woman see me have a bushy area around my flag pole.
qna,Any white girls like Spanish guys?
personal,When you realise you fell in love with a good guy but you turned him into a douche
lgbtq,I like girls that look like guys
meetup,"Coming to Paris in mars, do anyone wants to met up and take me somewhere I am turning 18 that day Guys 18-19"
meetup,Message me ladies. Male here.
meetup,Let's talk? I'm sick so I'll be home all night bored.
personal,"We're used to be best friends now we're not. Instead of ignoring me, tell me what I did wrong."
misc,Just smile. No one saw that
personal,I'm really fucking tired of the fake friends and lying from everyone. Here's a wonderful idea TELL THE TRUTH. Less drama later. Really gonna delete ppl outta my life. Don't like it eh fuck off. DONE!!
family,My sister told me that I have to loose weight for summer... She was rude I didn't understand why once I'll not go on vacations
relationships,Yes I'm dating two girls. They do know about each other. Breaking norms
misc,I never read long whispers...
relationships,Why can't I move on. You want nothing to do with me anymore . yet I still have a little bit of hope that you do . every one I talk to reminds me of you I feel awful .
personal,I don't like clothes
qna,Do you regret losing your virginity? Why?
food,PIZZA won't divorce u PIZZA won't break up with u PIZZA won't betray u PIZZA won't fight with u Why don't people Just marry pizza?
meetup,Anyone want to snapchat hmu 18 m 
misc,"when the physical body, the place where perception of objects occurs, is rendered incapable of perceiving, that is known as death."
relationships,So tired of this separation thing I miss being your husband. I miss you.
qna,"What's there to do in Michigan, for couples?"
school,"The only people I see complaining about their grades so far are literally the ones who don't attempt to do ANYTHING. They've told me. If you're so concerned, suck it up and do your homework for once."
personal,When I was 14 I finally made it to 100pounds it's been a struggle to keep at 100+ through the years I've been trying to gain and last I got sick and now I'm back to 95 again 
meetup,"In town for one night, any girls want to come to vip in the club with us?"
personal,"I kicked a pain pill dependence, now I'm tired all the time. Chronic pain is a bitch."
meetup,I wanna hook up with a girl!!
personal,I can't get over him and it's driving me crazy
misc,
personal,"I ran 2 miles today. I'm pretty proud of myself, because I couldn't do that before."
work,I'm a workaholic because I have no friends. I have no friends because I'm a workaholic.
lgbtq,"Any gay guys want to hangout tonight watch Netflix north east, Maryland here"
relationships,My last relationship has me afraid to even try dating again.
relationships,I'm tired of guys asking me to be fwbs... sorry you are telling me I'm good enough to fuck but not good enough to be in a relationship with. .. sorry I won't settle for that.
misc,I'm really happy tonight!
relationships,My ex comes to my house secretly without his wife knowing
personal,Drinking alone...already so fucked up I forgot where I put my drink. # theweekendonIheartradio3/6/15-7:15pm
misc,It's bad to say I'm home alone with no one to talk too
personal,I love my best friend to death but I think she is a really whiney drama queen bitch.
family,I live my life so that I have stories to tell my kids and grandkids someday.
relationships,Jesus. Plan a nice weekend and she blows the fuck up over something super small and ruins it before it even starts. Why do I have to work so hard to try and make some one happy. For nothing
misc,I honestly have never seen a good Asian driver
personal,Sticking to the people I can trust over those who say they are my friends only when a favor is needed
meetup,Who wants to chat
meetup,I want my county boy already! Where y'all at?!
meetup,Females hit me up.
misc,Hi
meetup,Any girls want to chat? M / 17
qna,"My friends in Huntsville, know any good, clean places to get pierced and tattooed?"
pop_culture,Who listens to skrillex and diplo that has some good songs to recommend? :3
fashion,When other bitches make fun of my big hair
meetup,Any young girls around?
meetup,Any ladies into beards on here I'm 23
work,I'm not even sure how to meet people outside of work anymore. Ha.
personal,I have crush on someone who use to like me long time ago
misc,Whose ever this was. Thanks. Walgreens off Cartwright
meetup,"Yes I'm sad it's over, and yeah I should be strong. It's just hard. I need friends now, I'm a nice guy. 19 male here. Let's chat?"
personal,so depressed today
personal,I just need to admit to myself that I'm just completely done and move on with my life.
relationships,The best way to spend a day: cuddling with babe all day <3
misc,Miss you sometimes when I need my back scratched.
misc,When you're taking a nap and someone decides to call you. So naturally you wake up and answer then they say nevermind and hang up. Fuck you.
relationships,"Awesome day out with my beautiful girlfriend had loads of fun got some knomes had a matching tattoo for the fun of it and then went out for a nice meal , this is living the dream right here :)"
school,If you fail in a semester do they kick you out ?
qna,Men: Are you still are attracted to women when they cut their hair very short? Honest no judgement 
personal,"Head is pounding like someone hitting me constantly with a hammer,neck aches,back aches,my entire body aches...sigh"
meetup,What beautiful woman wants to go out to dinner tonight?! 28M
family,"I'm 9 months pregnant and I've gotten the worse stretch marks on my stomach, I feel so insecure about them. I feel like my body is going to be so ugly after I give birth."
misc,Never been with a skinny girl
fashion,Trying to put on makeup like a professional
misc,Zap! Zap! Zap! I hate you! Zap! Go away! Zap! Gone.
misc,Goodmorning
misc,I met a guy on here who I love like a little brother ❤
personal,I need a best friend
personal,I always wonder why I'm single then I do something weird/stupid. That's when I know why I'm single
qna,Who's your favorite super hero?
pop_culture,Pewdiepie is so fabulous
personal,"Honestly... I just want to cuddle... Nothing sexual, just.... Cuddling. What's so hard about that!!?!?!"
lgbtq,Falling in love with your best friend
qna,"I have an asian friend and he has a twin and they both like me, I could tell which one is which. So which one do I choose, the strong and fun one or the shy and also strong?"
misc,You can't stand up again if you're already standing dumbass
misc,Really Good Sex
relationships,"All your perfect Imperfections, Is what makes me love you more.."
meetup,Chubby girls want to chat ;) ur the sexiest
qna,What do you do when you see a attractive girl in public?
misc,"While working at Starbucks ""Can you help me with the wifi"" I walk over ""Oh it's working you must my personal hot spot"" Wink*"
qna,Ladies ask me anything and I will answer honestly
meetup,Any girls nearby wanna talk? 18m
personal,"When I'm on holiday I only know the day of the week because of my pill. Unfortunately, I take it in the evening so I only realise that it's ""Wednesday"" or whatever when the day is over."
pop_culture,Listening to shrek theme songs with my parents to Best day ever :p and I'm 14 ... Shrek forever 
meetup,Hey ladies send me those sexy pics ;)
meetup,Im really really bored. Need some cigarettes. Sooo is there anything i could do for anyone.in return for a pack? Or ya know just for fun
lgbtq,My type of girl is a girl with an amazing smile and nice boobs I'm also a girl Lesbian
lgbtq,russells gay
personal,"Damnit I wish I was my age in the 50's or 60's. Things were much more simple, the style was amazing, and girls were much more respectable."
personal,Sometimes I wished my life was only a dream
personal,Spenidng the weekned dunrk
meetup,Gay/bi in new york message me
pop_culture,Attack on titans <3
personal,I'm so tired Of everything...
meetup,Bored...24 guy
meetup,Any girls wanna talk? Clean or dirty 19M
lgbtq,I wanna mess around with another guy. Curious male here.
meetup,Guys message me; )
personal,"I caught my friend talking behind my back, she didn't even realize I was right behind her the whole time until she tried to walk away. "
misc,STOP! THATS GAY!
meetup,Anybody else bored?!?!
personal,Listening to you talk makes me want to jump off a cliff.
relationships,"It's not that I am into older women, it's just that at this point I'll go for any woman i can get my hands in"
military,Any ladies like army guys
misc,It's hard to find a gym rat woman who is single. Ugh 23m
relationships,Ladies... Teach your son's to cook. My bf tried to make soup. He burnt it and his arm hair
personal,I love you. I love you even though I don't know you. I love you even though you don't look like me. I love you even though you have flaws. I love you and I want you to be happy.
personal,I've been so cold for so long. Hated people and despised the world. I had a wall around my heart that I didn't even know how to get around...but then she comes along and tears it down like it's a paper on a wall. I'm in love with her.
relationships,I'm dead about to beat this bitch ass if she don't leave my man alone
fashion,Yea I'm emo. Bitch.
meetup,Call of duty on ps3 any one?
misc,This is why I never send people a picture of me... They never answer back...
food,I hide my favourite food in the back of the fridge so no one else eats it
misc,Me:My house smells like upsexy Girl:what's upsexy? Me:nothing much :) Hahahaha awhh I need friends
personal,I feel really alone because I'm forcing myself to stay in a situation where I don't feel welcome...solely to be with the person I'm in love with. It's like we're the only ones who want it... I just want to go home...
misc,GUTS OVER FEAR
misc,"It seems like there is nothing but high school students on here. Between all the emotional roller coasters, attention sucking leeches, not to mention they actually post that they are jail bait."
meetup,"Girls, do you like Big Lips? Me in the pic(M)"
meetup,Someone talk? 15 Female don't really mind who :) x
personal,"You can't turn a bad bitch loyal, but you can turn a loyal girl into a bad bitch."
relationships,You sure have a lot to say for the one who walked away.
qna,"Ladies; which do you do first when you get hair or makeup? I do makeup then hair, what about you?"
lgbtq,Fem boy looking for masc men to play with your pic gets mine
meetup,I really wanna be with a military man. No I'm not a dog chaser. I come from a military family and I understand all the stuff that goes along with being in the military. Any military men wanna chat? MN only. 17F. Almost 18.
personal,"Just you wait and see, I'll succeed without your help. You never seem to want to help me anyway,"
pop_culture,My secret is that I still can't get over Robin Williams' death...
meetup,Anyone Wanna talk hmu
meetup,Anyone want to hang out at the swap meet?
misc,I'm nervous for Valentines Day who knows what's going to happen
personal,I want a girlfriend Again... 31/f/St. Cloud MN
misc,Loki
misc,One of my dream...
relationships,I think i might go to Alanon. My husband is a heavy drinker. I want to leave him but i have issues because of him.
meetup,I need a musician to help me with a pageant audition. :(
meetup,What's happenin tonight in El Paso?
personal,Lost my watch at a party. Saw a guy stepping on it and harassing this girl. I punched him square in the face. Nobody does that to a girl...not on my watch
animals,Me and my cat are honestly v.cute cus she just loves me so much and we cuddle and we know each other as well as a human and cat can
misc,Puking my guts out. Not sure if I'm sick or stressed.
meetup,Girls send pics for a rating 1-20
personal,Don't think I will ever understand
personal,ICry just a little! I am a boy.
misc,Any girls like a BBC?
meetup,Where can I meet local females in San Diego.. M 19
food,Fuck it making coffee and zoning out from the real world
personal,"Being around guys is difficult for me because I'm shy, but I do it for my other friends"
personal,I really want this guy to fell in love with me. I think I am to ordinary for him
meetup,I need a guy best friend any takers?? 
lgbtq,"I wouldn't consider myself a feminine lesbian, but I also wouldn't consider myself a butch either. I'm more in between."
qna,"I need help, I'm a senior in highschool and I have to make the choice between west valley and de anza"
misc,Need some pain meds Stat.
meetup,Lesbian 20 Willing to rate your pictures and selfies. ☺️
misc,Guys who can sing<3
pop_culture,Seinfeld NEVER gets old!
misc,"I can't stand it when adults stereotype us teens We're not all into drugs, failing our classes, or going out with our partners"
qna,"Anyone else randomly get the shakes? You just randomly start shaking? You're not cold, you just... Shake... Anyone?"
personal,Dead inside
misc,The best way for me of being evil is being nice to the person i hate
misc,"You said you'll talk to me when you wake up But you didn't Go, I'm not wanted anyway, I'm sure you have some better to talk to"
misc,"Why? Why can't I start conversations, fuck you whisper."
personal,"I'm drunk, end of story."
lgbtq,Lesbians Message me
misc,Drew Chadwick though. 
meetup,"Tell me 5 facts about you, age & where you're from & if we have 3 in common I'll send you a picture"
personal,100% done with life right now
misc,No more fucking cold No more fucking winter No more fucking snow
qna,Who all graduated 07
relationships,Best thing ever is wearing your man's shirt after sex
personal,Bar hopping with my mates! Pretty fucking excited. Xoxo.
lgbtq,I am too gay for guys to be hitting on me. Like ew pls stop
misc,Tumblr
misc,"Never underestimate the therapeutic power of chocolate, a good cry, and loud music"
personal,"I got asked to prom, by a guy asking for another guy that I don't even know. The guy who I was supposed to go with doesn't even know me either... It was so awkward."
misc,Going to be in Minnesota tonight visiting the ice castles: D
personal,"My friend is getting married... I am getting drunk... I think we all know who the real ""Winner"" here is."
family,My mother-in-law looked after our kids while we were away. She did our laundry. I found my thong (in pic) clean and folded on our bed. So embarrassed!
meetup,"Nerdy Asian guys, carry me<3"
qna,"Girls , would you use a unisex public bathroom ?"
personal,He knows me so well
misc,Dentist appointments should really be called toucher appointments
relationships,I can't believe how some wifes treat there husband's it kinda makes me sick i have a friend that does everything he can to support his family & give her everything & return she treats him like shit :/
meetup,I have a Samsung galaxy s3 for sell anyone interested??
personal,I kinda want to join a dating site but idk which one. Plus I am kinda scared to cuz I feel like my pictures never come out as good as I normally look. 18 male
meetup,Super bored!:( girls hmu 24m
relationships,Yesterday a guy told my friend that he likes her The best friend of that guy is my crush and i wished my crush would have done the same
meetup,If you are scared to talk to girls put in the comments if you are (shy or smooth) and put your crushes name
misc,I fucking miss Gameworks
animals,Saturday night you know what that means! Forever alone with my dogs 
misc,Sexy cousin
qna,Is it bad that I find a man wearing a suit and tie extremely sexy? 
meetup,Any girls with kik message me.
misc,Tonight's gonna be good
misc,I can't finish what I started... It's too late!
meetup,Anyone wanna drink with me tonight? M
pop_culture,Reading books again :)
meetup,Anyone go to central high school in phoenix? Hit me up? ;) lol
meetup,Work is so boring. Anyone up for chat with 20 M?
meetup,Anyone wants to Come over hang and watch Netflix? I can pick you up
personal,TO MY LOYAL PEOPLE Y DO WE ALL GET CHEATED ON
meetup,"got a fire going, who wants to come chill on this chilly night?"
military,I can never trust another guy who is in the armed forces Last guy broke my heart....
faith,"I come from a town where people spend their lives preaching, but no one believes in forgiveness."
pop_culture,I think the Mangas are better than the Anime
personal,Saw a cute girl and I didn't ask for her number dang it
misc,I couldn't sleep :-/
family,My papa is always an asshole and constantly yells but yet he wonders why my dog always pee's on anything wih his scent on it lol
relationships,I guess no one wants a real relationship no more. Its all about casual dating or f/b. Well I'll be single till eternity #20F#TallahasseeFL
meetup,Any good girls?
personal,"I miss always having someone to go to when something goes really wrong... And then have them hold me close, telling me everything will be okay.."
personal,Sometimes I wish I was a virgin still....
misc,At the discovery center with the little shit <3
relationships,So my last Gf didn't want to have sex at all and the one before that one wanted to have sex all the time
personal,I've come to the conclusion that I'm just better off being single.
relationships,She actually thought it was ok to ask for trip money from her EX after I said no.. REALLY BITCH? Last week I paid to get your lights turned back on. Our time is coming to end but UOENOIT
misc,One more day to go. Day light savings here you come. Cause I been waiting on you.
family,I am the envy of my family
fashion,"If I shave it, I get nasty looking razor bumps. If I use Nair, that doesn't get all the hair. I just can't win!"
misc,Wafers are awesome
misc,Going to my first FNM woo
relationships,My boyfriend can't keep up with my abnormally high sex drive and I don't know how much longer we'll make it work like this..
personal,Sometimes I add a bunch of random snap chat user names to make myself look cool Like I actually have friends.
pop_culture,Cassie from skins is my inspiration
personal,"I feel like people time-travelled, altered the past and stole my theories lol damn you!!"
meetup,Is there any Girl interested to chat with me on what'sapp ? Only Indian Girls plz.
relationships,I once had sex with my boyfriend on his desk at work in the middle of the day without locking the door
personal,Most people have to drop 2 or 3 tabs to get these intense of visuals... Migraine Silver Linings
animals,It pains me to see how much I pay more attention to my roommate's cat than she does
misc,I love it that my husband did the dishes
misc,Soooooo I'm bored :'(
meetup,Thinking of going to the alibi in Ionia tonight. If anyone is interested in hanging out hmu.
misc,23/M
personal,I really hate when people ask for a picture
meetup,Join our clan in clash of clans! MSG me for the name:)
school,I fell in love with my best guy friend and I ant to take him to prom but I am cared of rejection but I feel like I can't because our friend told him he has to take her.
personal,I think about suicide more than I should..
misc,People see me as weird cause I am a real gamer girl not a stereotypical slut with a headset!
personal,I lost like 8kilos since last year and I want to lose more.
personal,I hate that my fat doesn't distribute evenly
pop_culture,Pewds is awesome! BROFIST
personal,Sleeping is good because for a while you forget everything.
personal,Love showing off my legs but I get the most judgemental looks when I wear heels like you wish you have these legs !
meetup,Rating 1-10
misc,I've never felt pretty enough. (Actual picture) 
lgbtq,It's hard being gay when you want love and not a quick fuck
misc,Always been my fave!! 
personal,Being single means instead of a person sleeping next to you it's that pile of clothes you don't want to fold.
personal,"I am never as important as I wish I was, to the people who are important to me."
meetup,Need an Asian cuddle buddy
animals,Aren't they adorable
qna,"Do you believe you can fall in love with someone without meeting them ? 22, female"
misc,I love thick black girls
tatoos,
misc,Templar Knights made America
misc,I miss my long red hair I'm 17
personal,I hate cuddling. When a guy says he wants to cuddle he is automatically put in the wimp club. I just find it so girly to say.
personal,I wonder if I went missing would anybody care?
misc,I want corsets to come back in style. They're so cute!
qna,What are some really good horror movies?? I have seen pretty much every relatively well known one and I can't seem to find a good one I haven't watched
misc,How does one go 3D I've gotten to many times of disappointment
misc,I set it so nearby is on but it's not working..smh
qna,Why does death note have to end so quickly :'(
personal,"You call me fat, yet wonder why I have low self-esteem. A crush hates me , and you wonder why I have low self-esteem. Gee, can you now see why I have low self-esteem?"
family,"The joys "" the day of love "" is soon and for me it's a day id rather see my kids then lose cash on a gold digger"
personal,A beautiful person is destroyed by an ugly personality!
personal,I can't help but feel flattered when older gentlemen hit on me.
misc,"I took a break from this app due to the lack of intelligent conversations... nothing changed, guys stop directly asking for pics or to hook up. Learn to talk to a woman for a while..... 25 male"
meetup,Ladies pick a number 1-11
qna,"Does this whole ""send pics for a rate"" actually work? Just seems a bit ridiculous."
personal,"I want to meet ""the one"" soon :("
relationships,Every time my boyfriend drinks he says I don't love him and he tries to break up with me.. He's an alcoholic.. I don't know what to do
meetup,Anyone wanna duo queue on rank game on League of Legends?
meetup,Anybody wanna chat? :) 19/F
misc,I wear a Fake smile because I dont Want Anyone to know about my past
meetup,Any 14-17 cute guys looking for someone to talk to 14f
misc,When you waste time that you need :|
school,"A freshman at school hugged me during lunch, and I almost punched her in the face because I absolutely hate physical contact."
misc,Short person advantage: no one can see up your nose Disadvantage: you have to look up everyone else's
personal,"I really need to speak Chinese, Hmong, and Vietnamese for my job:/ half the time we have such a bad language barrier!"
misc,"Ladies, this is how you respond do ""D"" pics."
misc,I don't know how to get out of this smoothly after making such a big deal about it. :/
misc,If your a quotes person then leave a quote in the comments let's see who knows the awesomest quotes
personal,"I keep getting these boosts of confidence to tell my friend about my self-harm, but as soon as I see her, I lose it and don't say anything. I've failed every time I've tried but I will keep trying."
pop_culture,Watching its always sunny in Philadelphia trying to escape the thoughts in my own world
personal,I just wish I could talk to you but I can't!
meetup,"Pregnant wife just went to bed, bi guy here anyone wanna chat?"
personal,I hate my life and my life hates me 
meetup,Anyone in uk still up and want fun or chat hit me
misc,Feeling nostalgic
misc,When I'm tired I can't be responsible for what comes out of my mouth.
lgbtq,Ladies convo wanted 25/f/hawaii Lesbian
qna,How can you tell if I guy likes you? ❤️ I'm a girl btw
